id_student,code_module,code_presentation,previous_attempts,assessments_due,assessments_submitted,completion_rate,mean_score,on_time_rate,mean_submission_delay,target
11391,AAA,2013J,0,2,2,1.0,81.5,1.0,-1.0,successful
28400,AAA,2013J,0,2,2,1.0,69.0,0.5,0.5,successful
30268,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
31604,AAA,2013J,0,2,2,1.0,71.5,1.0,-2.5,successful
32885,AAA,2013J,0,2,1,0.5,69.0,0.0,7.0,successful
38053,AAA,2013J,0,2,1,0.5,79.0,1.0,0.0,successful
45462,AAA,2013J,0,2,2,1.0,67.5,0.5,0.5,successful
45642,AAA,2013J,0,2,2,1.0,72.0,0.5,1.0,successful
52130,AAA,2013J,0,2,2,1.0,70.0,1.0,0.0,successful
53025,AAA,2013J,0,2,2,1.0,75.5,1.0,-6.0,successful
57506,AAA,2013J,0,2,2,1.0,72.0,1.0,-1.0,successful
58873,AAA,2013J,0,2,2,1.0,73.5,1.0,0.0,successful
59185,AAA,2013J,0,2,2,1.0,69.0,1.0,-1.0,successful
62155,AAA,2013J,0,2,2,1.0,79.0,1.0,-3.0,successful
63400,AAA,2013J,0,2,2,1.0,62.5,1.0,0.0,successful
65002,AAA,2013J,0,2,2,1.0,67.0,1.0,-2.5,at_risk
70464,AAA,2013J,0,2,2,1.0,59.5,1.0,-1.0,successful
71361,AAA,2013J,0,2,2,1.0,84.0,1.0,-0.5,successful
74372,AAA,2013J,0,2,2,1.0,39.0,0.5,1.5,at_risk
75091,AAA,2013J,0,2,2,1.0,66.5,1.0,-1.5,successful
77367,AAA,2013J,0,2,2,1.0,74.5,1.0,-0.5,successful
91265,AAA,2013J,0,2,1,0.5,75.0,0.0,2.0,successful
94961,AAA,2013J,0,2,1,0.5,74.0,1.0,-2.0,at_risk
98094,AAA,2013J,0,2,2,1.0,60.5,1.0,-3.0,successful
100893,AAA,2013J,0,2,2,1.0,65.5,1.0,-3.0,successful
101781,AAA,2013J,0,2,2,1.0,74.0,1.0,-2.5,successful
102806,AAA,2013J,0,2,2,1.0,83.0,1.0,0.0,successful
102952,AAA,2013J,0,2,2,1.0,73.0,1.0,-1.0,successful
104476,AAA,2013J,0,2,1,0.5,85.0,0.0,11.0,successful
106247,AAA,2013J,0,2,1,0.5,67.0,0.0,13.0,at_risk
106577,AAA,2013J,0,2,2,1.0,54.0,1.0,-0.5,successful
110175,AAA,2013J,0,2,2,1.0,63.5,0.5,0.0,successful
111717,AAA,2013J,0,2,1,0.5,80.0,1.0,-9.0,successful
113295,AAA,2013J,0,2,1,0.5,81.0,1.0,0.0,successful
114017,AAA,2013J,0,2,2,1.0,71.0,1.0,-1.0,successful
114999,AAA,2013J,0,2,2,1.0,76.5,1.0,-1.5,successful
116541,AAA,2013J,0,2,1,0.5,76.0,1.0,0.0,successful
116692,AAA,2013J,0,2,2,1.0,74.5,1.0,-5.0,successful
118983,AAA,2013J,0,2,2,1.0,68.0,1.0,0.0,successful
123044,AAA,2013J,0,2,2,1.0,73.5,0.5,3.0,successful
127582,AAA,2013J,0,2,1,0.5,69.0,0.0,7.0,successful
129955,AAA,2013J,0,2,2,1.0,83.5,1.0,-0.5,at_risk
132976,AAA,2013J,0,2,2,1.0,64.0,1.0,-1.0,successful
134143,AAA,2013J,0,2,2,1.0,85.0,1.0,-1.0,successful
135335,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
135400,AAA,2013J,0,2,2,1.0,61.5,1.0,-2.5,at_risk
137873,AAA,2013J,0,2,2,1.0,76.5,1.0,-2.0,successful
141355,AAA,2013J,0,2,2,1.0,75.5,1.0,0.0,successful
141377,AAA,2013J,0,2,1,0.5,45.0,0.0,35.0,at_risk
142326,AAA,2013J,0,2,1,0.5,65.0,1.0,-2.0,successful
144801,AAA,2013J,0,2,2,1.0,62.5,0.5,1.0,successful
145130,AAA,2013J,0,2,2,1.0,56.0,1.0,0.0,successful
146188,AAA,2013J,0,2,1,0.5,52.0,1.0,0.0,at_risk
147756,AAA,2013J,0,2,2,1.0,74.5,1.0,-1.0,at_risk
147793,AAA,2013J,0,2,1,0.5,52.0,0.0,13.0,at_risk
148993,AAA,2013J,0,2,1,0.5,68.0,0.0,6.0,at_risk
151358,AAA,2013J,0,2,2,1.0,51.0,1.0,-2.0,successful
155550,AAA,2013J,0,2,2,1.0,70.5,1.0,0.0,successful
155854,AAA,2013J,0,2,2,1.0,80.5,1.0,-1.0,successful
155984,AAA,2013J,0,2,1,0.5,85.0,1.0,0.0,at_risk
157568,AAA,2013J,0,2,1,0.5,79.0,1.0,-1.0,successful
159954,AAA,2013J,0,2,1,0.5,65.0,1.0,0.0,at_risk
164259,AAA,2013J,0,2,2,1.0,70.0,1.0,-1.0,successful
167906,AAA,2013J,0,2,2,1.0,59.0,1.0,0.0,successful
168936,AAA,2013J,0,2,2,1.0,77.5,1.0,0.0,successful
172112,AAA,2013J,0,2,1,0.5,60.0,1.0,0.0,successful
